Date,Time,Ch1:Deg F
09/09/2018,23:51:19,71.329
09/09/2018,23:51:29,71.329
09/09/2018,23:51:39,71.329
09/09/2018,23:51:49,71.329
09/09/2018,23:51:59,71.329
09/09/2018,23:52:09,71.329
09/09/2018,23:52:19,71.329
09/09/2018,23:52:29,71.290
09/09/2018,23:52:39,71.290
09/09/2018,23:52:49,71.329
09/09/2018,23:52:59,71.369
09/09/2018,23:53:09,71.250
09/09/2018,23:53:19,71.329
09/09/2018,23:53:29,71.290
09/09/2018,23:53:39,71.290
09/09/2018,23:53:49,71.290
09/09/2018,23:53:59,71.329
09/09/2018,23:54:09,71.290
09/09/2018,23:54:19,71.290
09/09/2018,23:54:29,71.290
09/09/2018,23:54:39,71.210
09/09/2018,23:54:49,71.329
09/09/2018,23:54:59,71.290
09/09/2018,23:55:09,71.329
09/09/2018,23:55:19,71.290
09/09/2018,23:55:29,71.329
09/09/2018,23:55:39,71.290
09/09/2018,23:55:49,71.250
09/09/2018,23:55:59,71.250
09/09/2018,23:56:09,71.250
09/09/2018,23:56:19,71.250
09/09/2018,23:56:29,71.329
09/09/2018,23:56:39,71.290
09/09/2018,23:56:49,71.290
09/09/2018,23:56:59,71.329
09/09/2018,23:57:09,71.329
09/09/2018,23:57:19,71.290
09/09/2018,23:57:29,71.290
09/09/2018,23:57:39,71.329
09/09/2018,23:57:49,71.369
09/09/2018,23:57:59,71.290
09/09/2018,23:58:09,71.250
09/09/2018,23:58:19,71.290
09/09/2018,23:58:29,71.250
09/09/2018,23:58:39,71.210
09/09/2018,23:58:49,71.250
09/09/2018,23:58:59,71.250
09/09/2018,23:59:09,71.290
09/09/2018,23:59:19,71.290
09/09/2018,23:59:29,71.329
09/09/2018,23:59:39,71.250
09/09/2018,23:59:49,71.290
09/09/2018,23:59:59,71.329
09/10/2018,00:00:09,71.250
09/10/2018,00:00:19,71.290
09/10/2018,00:00:29,71.290
09/10/2018,00:00:39,71.290
09/10/2018,00:00:49,71.210
09/10/2018,00:00:59,71.250
09/10/2018,00:01:09,71.290
